earn height sex ed age race
 35000 73.58718 male   14 34 white   
 16000 64.78882 female 14 31 white   
 28000 63.53549 female 16 40 white   
 20000 67.63722 male   15 42 white   
 21000 65.60212 male   13 30 white   
 17000 68.83580 male   12 42 black   
 24000 59.93190 female 13 50 white   
 25000 60.79660 female 12 75 white   
 40000 75.03414 male   12 46 white   
  8000 63.93496 female 13 19 white   
 19000 62.74962 female 15 45 hispanic
 45000 67.22273 female 16 69 white   
  5000 64.10166 male   17 33 black   
 24000 63.43396 female 14 40 black   
  5000 67.07147 female 14 19 white   
 33000 65.87795 male   16 34 white   
 24000 65.22229 female 14 24 white   
  6000 62.64251 female 13 23 white   
 90000 66.43623 female 14 55 white   
 57000 64.09800 female 18 47 white   
 13800 70.74232 male   14 54 white   
 30000 71.24931 male   18 37 white   
 15000 71.70961 male   12 40 white   
 15000 59.66460 female 14 75 white   
 31000 69.78665 male   12 29 white   
 33000 73.99725 male   17 40 white   
 30000 67.55916 male   18 61 white   
 12000 74.33899 male   12 38 white   
  5000 75.00721 male   12 22 white   
 21000 68.16158 male   12 59 white   
 28000 62.58655 female 18 46 white   
 12000 72.03875 male   12 31 white   
 19000 64.49414 female 12 46 white   
  6000 62.60842 female 14 35 white   
  5300 65.90543 female 13 60 white   
 15000 60.87601 female 13 28 white   
 17000 73.12189 male   12 46 white   
  4700 65.54228 female 12 78 black   
  9500 62.07427 female 12 65 white   
  1700 64.53591 male   12 22 white   
  5400 62.35350 female 12 31 white   
 10000 68.11736 male   12 31 white   
 25000 58.88042 female 15 83 white   
 35000 68.42126 female 16 43 white   
 28000 62.78644 female 18 44 white   
 42000 62.76001 female 12 40 white   
 45000 67.82704 male   12 58 white   
 55000 64.15770 female 12 51 white   
 36000 70.10556 female 16 30 white   
 25000 70.27167 male   10 31 white   
 19000 72.18899 male   12 28 white   
 38000 68.90136 male   11 50 white   
 15000 63.07259 female 14 37 white   
  4500 57.97290 female  5 85 white   
 96000 63.11989 female 14 27 white   
 11000 62.70556 female 12 47 white   
  9000 72.57431 male   15 34 white   
  5000 69.41363 female 14 24 white   
 50000 69.82504 male   12 51 white   
  6000 64.89705 female 13 44 white   
100000 71.51572 male   13 22 white   
 16500 61.91616 female 13 46 white   
 32000 71.60782 male   14 40 white   
 30000 72.75964 male   18 41 white   
 10000 67.91167 female 16 42 white   
 15000 66.13226 female 12 19 white   
  6500 59.90598 female  8 83 white   
 26000 60.30743 female 18 63 white   
 17000 64.87640 female 12 59 white   
 22000 62.80542 female 18 59 other   
 10000 63.93523 female 12 41 white   
 50000 70.50475 male   14 58 white   
 20000 67.17893 male   12 35 white   
   400 62.90287 female 12 31 white   
 16000 65.08065 female 14 59 white   
 10000 66.42656 female 12 66 white   
 14000 62.94001 female 13 58 white   
  5000 65.19972 female 15 20 white   
 40000 73.78851 male   16 34 white   
  5000 67.18860 female 13 55 white   
 25000 67.54551 female 17 47 white   
 12000 65.25626 female 12 51 white   
 58000 63.70218 female 16 34 white   
 18000 67.83460 female 16 26 white   
  1000 65.48821 male   12 18 white   
 21000 71.76438 male   17 47 white   
 11000 65.69804 male   12 62 black   
 13000 63.66103 female 12 36 white   
 20000 59.63484 female 16 88 other   
 25000 71.69116 male   12 35 black   
   600 63.51513 female 12 43 white   
 25000 67.28185 male   14 26 black   
 36000 67.84666 male   12 28 white   
 15000 64.05579 female 13 33 other   
  3500 65.62335 female 12 51 white   
 19005 64.61287 female 16 34 white   
 62000 70.36270 male   14 54 white   
 25000 70.13582 male   12 42 white   
 50000 66.03882 male   12 52 white   
 40000 65.66768 male   12 61 white   
 26000 73.68208 male   18 26 white   
 22000 62.23430 female 12 48 white   
 21000 65.58047 female 17 39 white   
  6108 62.34291 female 12 65 white   
 30000 64.71665 female 18 64 black   
  6000 63.41644 female 12 78 white   
 27000 70.93384 male   16 29 white   
  4000 65.78463 female 16 42 white   
  4416 61.52156 female  6 72 other   
  5000 63.13920 female 10 87 white   
 45000 66.56994 male   18 40 white   
 18000 60.76265 female 14 45 white   
  6000 66.40241 female 15 22 white   
 14000 72.40009 male   12 24 white   
 35000 69.32629 female 14 24 white   
 15000 64.14805 female 16 29 white   
 12000 62.50258 female 12 29 black   
  1000 59.63618 female 12 47 white   
 32000 69.84609 male   15 33 black   
  1500 72.79965 male   12 19 white   
  3000 64.87412 female 16 23 black   
 35000 64.27539 female 12 42 white   
 70000 71.60516 male   15 48 white   
 21000 67.13204 female 16 28 white   
 50000 69.10554 male   11 18 white   
 15000 70.90079 male    9 21 white   
  9000 65.99266 female  8 35 black   
 10000 63.21551 female 14 25 black   
 30000 71.37289 male   12 47 white   
 16000 72.07876 male   14 21 white   
 20000 67.93927 male   12 51 white   
100000 71.94711 male   17 54 white   
 10000 65.66242 female 12 43 white   
 35000 66.47077 male   14 63 white   
  7000 65.42764 female 16 31 white   
  8000 71.35958 male   14 27 black   
 11000 73.69928 male   10 50 white   
 25000 70.20955 male    9 47 white   
 25000 64.33590 female 14 45 white   
 30000 69.23577 male   14 48 white   
 48000 63.16803 female 18 34 white   
 17000 67.97178 female 12 46 white   
 26000 72.63630 male   16 24 white   
 10000 62.64564 female 12 61 white   
 60000 71.15194 male   18 53 white   
 22000 64.94458 female 18 29 white   
  6200 64.22719 female 13 83 white   
 24000 64.74690 female 16 32 white   
 20000 70.69914 male   14 40 white   
  7000 69.61523 female 14 30 white   
 30000 67.70270 female 16 48 black   
 23000 66.09329 female 18 28 white   
 20000 64.39957 female 12 40 white   
  3000 65.88019 female 16 29 white   
 30000 69.73543 male   16 41 white   
 12000 63.79241 female 14 23 white   
 40000 70.60792 male   12 38 white   
 15000 63.83650 female 14 23 white   
 36000 63.41338 female 16 45 white   
 10000 66.23722 female 12 53 white   
 13000 68.38071 female 14 48 white   
 10000 61.52425 female 12 27 black   
 30000 68.53243 male   12 37 black   
 23000 64.46456 male   13 32 white   
 20000 69.60981 male   17 68 white   
 19000 65.37075 female 13 82 white   
 20000 60.75108 male   11 66 black   
 28000 63.99366 male   14 63 black   
 13000 64.58116 female 10 80 white   
 12000 64.13895 male   12 75 white   
 20000 69.30129 male   11 23 white   
 25000 73.63658 male   12 30 white   
 25000 68.19243 female 13 52 white   
 18000 66.59646 female 16 40 white   
  6000 61.80107 female 10 68 white   
 16000 72.24264 male   13 23 white   
 45000 73.46034 male   16 38 white   
 25000 69.87076 male   14 69 white   
 12000 63.51997 female 14 38 white   
  2000 68.21243 female 12 18 white   
 10000 62.91207 female 12 18 white   
 14000 70.72026 male   12 36 white   
 15000 63.74181 female 12 31 white   
 10000 60.36111 female 12 39 white   
  1200 65.76632 female  4 64 white   
 15000 58.92336 female 14 62 white   
 10000 63.10044 female 13 64 white   
  2000 66.20177 male   12 18 white   
  4000 65.44585 female 13 33 white   
 10000 64.39271 female 14 32 white   
  1500 65.77418 female 12 23 white   
 18000 65.50058 male   17 26 hispanic
  4000 72.89740 male   15 24 white   
 28000 72.44737 male   16 26 white   
 10000 74.32628 female 14 22 white   
  3000 64.65599 female 16 22 white   
 12000 70.61207 male   12 21 white   
 19000 68.07568 female 13 45 white   
 36000 70.49066 male   16 39 white   
  7000 64.21713 female 16 59 white   
 35000 58.72468 female 11 34 white   
 40000 67.90288 male   18 43 white   
 15000 67.93034 male   14 25 white   
  8000 68.82437 female 13 43 white   
 25000 69.43574 female 14 55 white   
 28000 75.26532 male   18 38 white   
 22000 69.13342 male   14 35 white   
 21500 72.04506 male   13 24 black   
  3000 68.33676 female 12 23 white   
 23000 71.53957 male   13 28 white   
 18000 72.35495 male   12 73 white   
 20000 67.29746 male   16 71 white   
 16000 63.21394 female 12 46 hispanic
 15000 69.21808 male   12 26 white   
 53000 62.87644 female 17 32 hispanic
 26000 72.30503 male   12 27 white   
  4000 65.43678 female 12 28 other   
 10000 72.68583 male   16 59 white   
 43000 69.12368 male   12 51 white   
 17000 68.80012 male   14 33 other   
  4000 61.49719 female 12 38 hispanic
 50000 73.19213 male   15 48 white   
 55000 66.86296 female 18 51 white   
 28000 63.07393 female 16 41 white   
  5000 62.15914 female 14 48 white   
 18000 65.39749 female 13 49 white   
 21000 71.56490 male   15 62 hispanic
 12000 67.19160 female 12 33 white   
 33000 65.49676 female 16 62 hispanic
 50000 72.42630 male   13 64 hispanic
  6000 65.38834 female  9 74 hispanic
 16000 63.81682 female 14 59 white   
 35000 68.20842 male   12 50 white   
 25000 68.29211 female 12 43 white   
 20000 76.38236 male   14 26 white   
 18000 62.61693 female 12 36 white   
 34000 74.39722 male   14 78 white   
 25000 68.47598 male   16 25 white   
 20000 72.08176 male   17 77 white   
 33000 67.56834 male   12 69 white   
  4000 64.54943 female 12 73 white   
 20000 60.10434 female  8 77 white   
 40000 72.36485 male   16 33 white   
 14000 63.72689 female 14 40 white   
 12000 68.01107 female 12 48 white   
 25000 61.14690 female 12 31 white   
 70000 67.08765 female 10 72 white   
 38000 67.20368 female 17 55 white   
 14000 63.04842 female 12 28 white   
 15000 60.24540 female 13 37 white   
 17000 73.56450 male   16 31 white   
 60000 68.81879 male   14 66 white   
 15000 66.74730 female 15 69 white   
 25000 64.91763 male   16 86 white   
 18000 62.20893 male   12 63 hispanic
 70000 71.82154 male   18 47 white   
 30000 64.57803 female 18 59 white   
  8000 62.36229 female 12 51 white   
 30000 70.92462 male   16 34 white   
 27000 71.35941 male   14 32 white   
 47000 70.07702 male   18 43 white   
 12000 66.55482 male   12 22 hispanic
 24000 61.77156 female 17 34 white   
 13000 62.89387 female 12 35 hispanic
 80000 60.81635 female 14 37 white   
  5000 71.81258 male   12 18 white   
 25000 62.51972 female 10 60 white   
 28000 65.83384 male   12 44 white   
  8000 64.12672 female 15 20 white   
 10000 66.43378 female 13 51 white   
  9000 68.26159 female 14 41 white   
 20000 59.55762 female 12 37 white   
 12000 65.18920 male   12 71 white   
 15000 64.76620 female 14 66 white   
 20000 61.33605 female 14 36 white   
 28000 63.90803 female 14 36 white   
   265 65.98172 female 15 21 white   
 35000 69.35291 male   14 74 white   
 26000 65.99869 female 14 32 hispanic
 27000 66.64220 female 17 34 white   
 14000 68.37846 female 12 30 white   
 32000 65.51632 male   16 33 white   
 10000 69.09659 female 14 32 white   
  7000 69.32438 male   16 30 white   
 28000 71.01265 male   17 46 white   
 60000 73.87646 male   13 54 white   
 12000 68.53997 male    4 62 white   
 15000 75.15666 female 13 75 white   
 15000 71.85208 male   11 63 white   
 26000 64.38789 female 15 32 white   
 26000 71.68615 male   16 25 hispanic
 18720 62.75757 female 10 36 black   
 12000 63.80686 female 12 73 black   
 80000 70.42836 male   17 39 white   
 48000 66.41484 female 13 39 white   
 18000 62.49871 male   16 27 other   
 85000 69.73083 male   15 65 white   
 35000 63.64059 female 12 47 black   
  5000 68.70302 male   16 22 white   
  9000 64.18301 female 13 22 hispanic
 30000 67.13533 female 16 27 white   
 80000 71.67133 male   14 58 white   
 35000 65.06636 female 16 32 white   
 12000 63.38769 female 14 34 white   
200000 69.66276 male   18 34 white   
  4000 64.20871 female 16 45 white   
  2000 68.04928 male   12 18 white   
 24000 65.95546 female 18 69 white   
  2000 66.31635 male   15 23 hispanic
 15000 69.68933 male   17 30 white   
  6000 62.25103 female 12 65 white   
  5000 65.91611 male   12 75 white   
  1500 66.49011 female 12 21 hispanic
 28000 63.54176 female 18 48 white   
  9000 69.91641 female 12 35 white   
 60000 74.14910 male   14 52 white   
  1200 65.50048 male   12 19 white   
  1400 61.64302 female  3 64 hispanic
  7000 66.43334 female 13 43 white   
 21000 62.27002 female 12 31 white   
 44000 69.05178 male   12 58 white   
 29000 67.69980 male   16 36 black   
  3000 71.82785 male   14 18 hispanic
 12000 64.32170 male   13 22 black   
 20000 72.47294 male   12 28 hispanic
  1200 61.72064 female  5 73 black   
 37000 73.76301 male   16 25 white   
  8000 66.28669 male   10 60 other   
 35000 67.89220 male   16 30 hispanic
 25000 61.94551 male   14 37 other   
 18000 71.17571 female 10 29 white   
 30000 62.52137 female 16 36 black   
 20000 69.24438 male   18 69 white   
 12000 71.20133 male    6 40 hispanic
 10000 65.93158 female 12 68 white   
 18000 71.89919 male   14 48 white   
 20000 72.11578 male   12 26 black   
 31000 67.54589 female 16 43 white   
  6000 63.50634 male   10 36 hispanic
 12000 69.84664 male   13 40 white   
 13000 66.35971 female 16 33 white   
 26000 66.51458 female 17 34 white   
 15000 68.06513 female 11 31 black   
 30000 63.77365 female 17 28 white   
  2000 64.70483 female 14 41 white   
  5000 69.95972 male   13 22 other   
 53000 71.26888 female 14 26 white   
  2000 61.87336 female 13 18 white   
 25000 70.85695 male   17 29 white   
  5000 74.30637 male   12 18 white   
 21000 64.20481 female 13 27 white   
 17000 69.74732 female 15 27 white   
 12000 64.00159 female 13 37 white   
 42000 69.62591 male   14 44 hispanic
 21000 73.66522 male   12 33 white   
  6000 62.72194 female 12 65 hispanic
 25000 73.55019 male   14 24 white   
  3000 66.08877 female 14 19 white   
  3600 65.39048 female 15 67 white   
  4000 70.91890 male   12 19 white   
 20000 68.52425 male   14 58 white   
 52000 60.29879 male   15 50 white   
 60000 64.01087 female 12 43 white   
 15000 63.81617 female 13 41 white   
 90000 71.89981 male   16 50 white   
 26000 61.41213 female 14 65 white   
  2000 68.69143 male   12 21 white   
 16000 67.11030 female 12 61 white   
 24000 64.56858 female 11 27 hispanic
 15000 68.26174 male   16 28 hispanic
 42000 74.42452 male   17 43 white   
 10000 65.19333 female 12 43 white   
 17000 70.70130 male   13 36 hispanic
 30000 64.43980 female 14 34 white   
 32000 68.86163 female 17 37 white   
 36000 64.38678 female 17 34 hispanic
 10000 71.90196 male   13 20 hispanic
 20000 62.55289 female 15 29 white   
 24000 64.88607 female 12 29 white   
 17000 71.65621 male   12 32 white   
 23000 65.15171 female 14 48 white   
 25000 64.28045 female 12 33 white   
 50000 70.88341 male   12 50 white   
 20000 61.76662 female 12 30 white   
 30000 66.27003 female 16 33 white   
  7000 64.07142 female 10 39 white   
  7000 66.80599 male   10 78 white   
 30000 68.07656 male   11 32 white   
  3000 65.75189 female 12 24 white   
 20000 66.01494 female 14 43 white   
 40000 65.76547 female 16 59 white   
 10000 66.74771 male   12 77 white   
 16000 66.14089 male   12 37 white   
 11000 63.30037 female  9 51 white   
 16000 67.61928 female 13 43 white   
 18000 70.42987 male   12 27 white   
 12000 62.62478 female 16 26 white   
  4000 69.98806 male   14 21 black   
 60000 71.81932 male   12 45 white   
 43000 74.77192 male   17 40 white   
 31000 61.96560 female 14 39 white   
 50000 68.21042 female 17 39 white   
 27000 68.04935 female 14 29 white   
 30000 70.49075 male   17 56 white   
 12000 73.38321 male   13 21 black   
 20000 62.13713 female 17 30 white   
 15000 59.77629 female 12 76 black   
 25000 64.15965 female 16 37 other   
  2000 60.19710 female  6 67 hispanic
  3000 73.26521 male   15 20 hispanic
110000 66.31204 female 18 48 other   
 55000 68.99589 male   18 71 white   
 58000 70.34337 male   18 53 white   
 10000 70.05628 female 16 36 white   
 19000 72.16573 male   12 29 white   
 15000 61.13580 female 18 82 white   
  8000 63.66416 female 12 33 white   
 60000 71.92584 male   12 50 white   
  6000 68.36849 male   12 27 white   
