Team,Year,Sport,Event,Medal
Germany,1980,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Germany,1968,Athletics,Athletics Women's Shot Put,Gold
Germany,1972,Athletics,Athletics Women's Shot Put,Silver
Great Britain,1968,Athletics,Athletics Men's 400 metres Hurdles,Gold
Great Britain,1972,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Great Britain,1972,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Germany,1996,Diving,Diving Men's Platform,Silver
Germany,2000,Diving,Diving Men's Synchronized Platform,Bronze
France,1988,Sailing,Sailing Mixed Multihull,Gold
France,1992,Sailing,Sailing Mixed Multihull,Gold
Belgium,2004,Tennis,Tennis Women's Singles,Gold
Germany,1992,Swimming,Swimming Women's 800 metres Freestyle,Bronze
France,1992,Fencing,"Fencing Men's epee, Individual",Bronze
France,1996,Fencing,"Fencing Men's epee, Team",Bronze
Great Britain,1992,Rowing,Rowing Men's Coxed Pairs,Gold
Spain,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
Germany,1988,Athletics,"Athletics Men's 1,500 metres",Bronze
Great Britain,1964,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Germany,1976,Rowing,Rowing Women's Coxed Fours,Gold
Germany,1980,Cycling,Cycling Men's Sprint,Gold
Germany,1988,Cycling,Cycling Men's Sprint,Gold
Germany,1964,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
Germany,1980,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Germany,1980,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Germany,1988,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Germany,1988,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Germany,1992,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Germany,1980,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
Belgium,2004,Judo,Judo Women's Half-Lightweight,Bronze
Great Britain,1956,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Germany,1960,Rowing,Rowing Men's Single Sculls,Silver
Germany,1964,Rowing,Rowing Men's Single Sculls,Silver
Great Britain,1956,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Great Britain,2012,Cycling,Cycling Men's Team Sprint,Gold
Great Britain,2016,Cycling,Cycling Men's Team Sprint,Gold
Germany,1976,Athletics,Athletics Women's Discus Throw,Bronze
Great Britain,2016,Athletics,Athletics Women's Hammer Throw,Bronze
Germany,1992,Rowing,Rowing Men's Coxless Pairs,Silver
Germany,2012,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Germany,1980,Diving,Diving Men's Platform,Gold
Germany,1992,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Germany,1972,Athletics,Athletics Women's 800 metres,Bronze
Germany,1972,Athletics,"Athletics Women's 1,500 metres",Silver
Germany,1976,Athletics,"Athletics Women's 1,500 metres",Silver
Germany,1996,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Germany,1964,Judo,Judo Men's Middleweight,Silver
Germany,1968,Athletics,Athletics Men's 50 kilometres Walk,Gold
Germany,1964,Athletics,Athletics Men's Decathlon,Gold
Spain,1992,Archery,Archery Men's Team,Gold
Great Britain,1984,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Great Britain,1988,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Great Britain,1988,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Great Britain,2016,Triathlon,Triathlon Women's Olympic Distance,Bronze
Germany,2008,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Germany,2012,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
Great Britain,1988,Rowing,Rowing Men's Coxless Pairs,Gold
Great Britain,1988,Rowing,Rowing Men's Coxed Pairs,Bronze
Great Britain,2000,Athletics,Athletics Women's 800 metres,Bronze
Great Britain,2004,Athletics,Athletics Women's 800 metres,Gold
Great Britain,2004,Athletics,"Athletics Women's 1,500 metres",Gold
Germany,2012,Athletics,Athletics Men's Pole Vault,Bronze
Germany,1980,Athletics,Athletics Women's Javelin Throw,Bronze
Great Britain,1956,Athletics,Athletics Women's High Jump,Silver
Germany,1972,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
Germany,1996,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver
Germany,1988,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Germany,1988,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Germany,1988,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Great Britain,1964,Fencing,"Fencing Men's epee, Individual",Silver
Germany,1972,Judo,Judo Men's Half-Middleweight,Bronze
Germany,1964,Rowing,Rowing Men's Coxless Pairs,Bronze
Great Britain,2008,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
Great Britain,1992,Judo,Judo Women's Middleweight,Bronze
Great Britain,2000,Judo,Judo Women's Middleweight,Silver
Great Britain,2000,Cycling,Cycling Men's Team Sprint,Silver
Great Britain,2004,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Great Britain,2008,Cycling,Cycling Men's Sprint,Gold
Great Britain,2008,Cycling,Cycling Men's Keirin,Gold
Great Britain,2008,Cycling,Cycling Men's Team Sprint,Gold
Great Britain,2012,Cycling,Cycling Men's Keirin,Gold
France,1984,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Great Britain,1980,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Great Britain,1980,Swimming,Swimming Men's 200 metres Butterfly,Silver
Germany,1964,Boxing,Boxing Men's Heavyweight,Silver
Germany,1960,Athletics,Athletics Women's Shot Put,Silver
Germany,1988,Swimming,Swimming Women's 200 metres Individual Medley,Gold
Germany,1988,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Germany,1992,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
Great Britain,1972,Sailing,Sailing Mixed Two Person Keelboat,Silver
Great Britain,2008,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Great Britain,2012,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Germany,1972,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Germany,1976,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Germany,1996,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Germany,2000,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Germany,2008,Rowing,Rowing Women's Double Sculls,Silver
Great Britain,1960,Athletics,Athletics Women's 100 metres,Silver
Great Britain,1960,Athletics,Athletics Women's 200 metres,Bronze
Great Britain,1956,Athletics,"Athletics Men's 5,000 metres",Bronze
Italy,1996,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
Italy,2000,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Italy,2004,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Italy,2008,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Great Britain,2008,Athletics,Athletics Men's Triple Jump,Silver
Belgium,1984,Cycling,Cycling Men's Points Race,Gold
Spain,1996,Cycling,Cycling Men's Individual Time Trial,Gold
Italy,2016,Shooting,Shooting Men's Double Trap,Silver
Great Britain,1972,Judo,Judo Men's Middleweight,Bronze
Great Britain,1956,Cycling,"Cycling Men's Road Race, Individual",Bronze
Great Britain,1988,Athletics,Athletics Men's 110 metres Hurdles,Silver
Great Britain,2008,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Germany,1964,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Germany,1976,Rowing,Rowing Men's Coxed Pairs,Gold
Germany,1980,Rowing,Rowing Men's Coxed Pairs,Gold
Germany,1992,Shooting,"Shooting Men's Running Target, 10 metres",Gold
Great Britain,2016,Cycling,Cycling Women's Sprint,Silver
Great Britain,2016,Cycling,Cycling Women's Keirin,Silver
Great Britain,2008,Rowing,Rowing Men's Coxless Fours,Gold
Great Britain,1988,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Great Britain,2012,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Germany,1972,Diving,Diving Women's Springboard,Bronze
Germany,1972,Diving,Diving Women's Platform,Bronze
Germany,1968,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Germany,1972,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Germany,1972,Gymnastics,Gymnastics Women's Horse Vault,Gold
Germany,1972,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Germany,1972,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Germany,1964,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Germany,1980,Diving,Diving Women's Platform,Gold
Germany,2016,Athletics,Athletics Men's Discus Throw,Bronze
Great Britain,1960,Fencing,"Fencing Men's epee, Individual",Silver
France,1960,Athletics,"Athletics Men's 1,500 metres",Silver
France,2008,Fencing,"Fencing Men's epee, Individual",Silver
France,2008,Fencing,"Fencing Men's epee, Team",Gold
Great Britain,2008,Boxing,Boxing Men's Light-Heavyweight,Bronze
France,1996,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Germany,1988,Athletics,Athletics Women's Heptathlon,Silver
Great Britain,1956,Athletics,Athletics Men's 800 metres,Silver
France,1980,Fencing,"Fencing Men's Foil, Individual",Silver
Great Britain,1960,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Great Britain,2012,Taekwondo,Taekwondo Women's Featherweight,Gold
Great Britain,2016,Taekwondo,Taekwondo Women's Featherweight,Gold
France,1952,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
France,1964,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
France,1964,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
France,1968,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Great Britain,2012,Boxing,Boxing Men's Super-Heavyweight,Gold
France,2004,Judo,Judo Women's Extra-Lightweight,Silver
France,1952,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Great Britain,2016,Boxing,Boxing Men's Super-Heavyweight,Silver
Germany,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Germany,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Germany,1972,Athletics,Athletics Men's High Jump,Silver
Germany,2016,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
Germany,2004,Judo,Judo Men's Half-Heavyweight,Bronze
Germany,1960,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Germany,2016,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
Germany,1972,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Germany,1980,Boxing,Boxing Men's Light-Middleweight,Bronze
Germany,1960,Athletics,Athletics Men's 400 metres,Silver
Germany,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
France,2004,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Germany,2004,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Germany,2008,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Great Britain,2008,Cycling,Cycling Men's Sprint,Silver
Great Britain,2012,Cycling,Cycling Men's Sprint,Gold
Great Britain,2016,Cycling,Cycling Men's Sprint,Gold
Great Britain,2016,Cycling,Cycling Men's Keirin,Gold
Germany,2016,Tennis,Tennis Women's Singles,Silver
Germany,1988,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Germany,1980,Rowing,Rowing Men's Single Sculls,Bronze
Great Britain,2004,Boxing,Boxing Men's Lightweight,Silver
Germany,2004,Tennis,Tennis Men's Doubles,Silver
Germany,1964,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Germany,1992,Swimming,Swimming Women's 200 metres Freestyle,Bronze
Germany,1996,Shooting,Shooting Women's Double Trap,Silver
Great Britain,2012,Cycling,Cycling Women's Team Pursuit,Gold
Germany,1988,Rowing,Rowing Men's Coxed Pairs,Silver
Germany,1996,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Germany,1980,Athletics,Athletics Women's High Jump,Bronze
Germany,1976,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Gold
Germany,1976,Athletics,"Athletics Women's 1,500 metres",Bronze
France,2016,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Germany,1980,Swimming,Swimming Women's 100 metres Backstroke,Silver
Germany,1996,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
Germany,2008,Fencing,"Fencing Men's Foil, Individual",Gold
Germany,1964,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Germany,1952,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,1952,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Germany,2004,Athletics,Athletics Women's Shot Put,Silver
Germany,1980,Rowing,Rowing Women's Coxless Pairs,Gold
Germany,2000,Cycling,"Cycling Men's Road Race, Individual",Bronze
Germany,2008,Cycling,Cycling Men's Points Race,Silver
Germany,1980,Swimming,Swimming Women's 100 metres Butterfly,Bronze
Germany,1960,Rowing,Rowing Men's Coxed Pairs,Gold
Germany,2000,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Germany,2000,Boxing,Boxing Men's Heavyweight,Bronze
Germany,1992,Fencing,"Fencing Men's Foil, Team",Gold
Germany,1988,Athletics,Athletics Women's Javelin Throw,Bronze
Germany,1980,Athletics,Athletics Women's 400 metres,Gold
Germany,1976,Diving,Diving Women's Springboard,Silver
Germany,1956,Athletics,Athletics Women's 80 metres Hurdles,Silver
Germany,1960,Athletics,Athletics Women's 80 metres Hurdles,Bronze
Germany,1960,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
Germany,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Germany,2000,Fencing,"Fencing Women's Foil, Individual",Silver
Germany,1972,Gymnastics,Gymnastics Men's Horse Vault,Gold
Germany,1976,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Germany,1976,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Germany,2000,Fencing,"Fencing Men's Sabre, Individual",Bronze
Germany,1980,Gymnastics,Gymnastics Women's Horse Vault,Silver
Germany,1980,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
Germany,1996,Boxing,Boxing Men's Heavyweight,Bronze
Germany,1980,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,1980,Swimming,Swimming Women's 200 metres Freestyle,Gold
Germany,1960,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
Germany,2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Germany,1988,Gymnastics,Gymnastics Men's Horse Vault,Silver
Germany,1980,Boxing,Boxing Men's Welterweight,Bronze
Germany,1960,Athletics,Athletics Men's Javelin Throw,Silver
Germany,2000,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Germany,2016,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Germany,1988,Swimming,Swimming Men's 200 metres Individual Medley,Silver
Germany,1964,Sailing,Sailing Mixed One Person Dinghy,Gold
Germany,1996,Athletics,Athletics Women's Shot Put,Gold
Germany,2000,Athletics,Athletics Women's Shot Put,Bronze
Germany,1980,Weightlifting,Weightlifting Men's Lightweight,Silver
Germany,1988,Weightlifting,Weightlifting Men's Lightweight,Gold
Germany,1988,Athletics,"Athletics Men's 5,000 metres",Bronze
Germany,2000,Cycling,"Cycling Women's Road Race, Individual",Silver
Germany,1956,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Germany,1956,Boxing,Boxing Men's Lightweight,Silver
Germany,2004,Shooting,"Shooting Men's Running Target, 10 metres",Gold
Germany,2004,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Great Britain,1972,Shooting,"Shooting Mixed Running Target, 50 metres",Bronze
France,1972,Fencing,"Fencing Men's epee, Individual",Silver
France,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Italy,1996,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
France,1984,Fencing,"Fencing Men's Sabre, Individual",Gold
France,1988,Fencing,"Fencing Men's Sabre, Individual",Gold
France,1992,Fencing,"Fencing Men's Sabre, Individual",Bronze
Germany,1976,Rowing,Rowing Men's Coxless Pairs,Gold
Germany,1980,Rowing,Rowing Men's Coxless Pairs,Gold
Germany,1968,Athletics,Athletics Women's Shot Put,Silver
Germany,1988,Rowing,Rowing Men's Single Sculls,Gold
Germany,1992,Rowing,Rowing Men's Single Sculls,Gold
Germany,1996,Rowing,Rowing Men's Single Sculls,Bronze
France,1952,Fencing,"Fencing Men's Sabre, Team",Bronze
Germany,1980,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
France,1952,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
Germany,1960,Athletics,Athletics Women's Long Jump,Bronze
Great Britain,2016,Diving,Diving Men's Springboard,Silver
Great Britain,2016,Diving,Diving Men's Synchronized Springboard,Gold
Great Britain,2004,Rowing,Rowing Women's Double Sculls,Bronze
France,2012,Athletics,Athletics Men's Pole Vault,Gold
France,2016,Athletics,Athletics Men's Pole Vault,Silver
Great Britain,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
France,2016,Sailing,Sailing Men's Windsurfer,Bronze
France,2008,Cycling,Cycling Women's BMX,Silver
France,2004,Gymnastics,Gymnastics Women's Uneven Bars,Gold
France,1980,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
France,2000,Judo,Judo Women's Half-Heavyweight,Silver
Germany,2016,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
France,1996,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
France,2004,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
France,2008,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
France,1952,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
France,2004,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
France,2012,Judo,Judo Men's Lightweight,Bronze
Germany,1992,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,2000,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,1980,Judo,Judo Men's Lightweight,Bronze
Germany,1964,Athletics,Athletics Men's Pole Vault,Bronze
France,2012,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
France,2016,Athletics,Athletics Men's 200 metres,Bronze
Belgium,1984,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Spain,1952,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
Italy,1960,Athletics,Athletics Women's 100 metres,Bronze
Great Britain,1952,Athletics,Athletics Women's High Jump,Silver
Germany,1992,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Germany,1980,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
France,2008,Swimming,Swimming Men's 50 metres Freestyle,Silver
Germany,2012,Cycling,Cycling Men's Keirin,Silver
Great Britain,1996,Athletics,Athletics Women's Heptathlon,Bronze
Great Britain,2000,Athletics,Athletics Women's Heptathlon,Gold
France,1956,Boxing,Boxing Men's Flyweight,Bronze
Germany,1964,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Germany,1964,Athletics,Athletics Men's 20 kilometres Walk,Silver
Germany,2000,Diving,Diving Women's Springboard,Bronze
Germany,1968,Swimming,Swimming Women's 200 metres Butterfly,Silver
Great Britain,2016,Shooting,Shooting Men's Trap,Bronze
Germany,1980,Rowing,Rowing Women's Double Sculls,Silver
Germany,1956,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,1972,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
Belgium,1972,Athletics,Athletics Men's Marathon,Silver
Belgium,1976,Athletics,Athletics Men's Marathon,Bronze
Spain,2000,Cycling,Cycling Men's Points Race,Gold
Spain,2004,Cycling,Cycling Men's Points Race,Silver
Spain,2008,Cycling,Cycling Men's Points Race,Gold
Spain,2008,Cycling,Cycling Men's Madison,Silver
Great Britain,1952,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Spain,1980,Athletics,Athletics Men's 50 kilometres Walk,Silver
Great Britain,1960,Boxing,Boxing Men's Welterweight,Bronze
Great Britain,1984,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
France,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze
Germany,1988,Judo,Judo Men's Lightweight,Silver
Belgium,1996,Judo,Judo Women's Lightweight,Bronze
Italy,1992,Cycling,Cycling Men's Points Race,Gold
Italy,2016,Cycling,"Cycling Women's Road Race, Individual",Bronze
France,1992,Cycling,"Cycling Women's Road Race, Individual",Silver
France,1996,Cycling,"Cycling Women's Road Race, Individual",Gold
France,1996,Cycling,Cycling Women's Individual Time Trial,Silver
France,2000,Cycling,Cycling Women's Individual Time Trial,Bronze
Great Britain,1960,Swimming,Swimming Women's 200 metres Breaststroke,Gold
France,2008,Fencing,"Fencing Men's Sabre, Individual",Silver
France,2008,Fencing,"Fencing Men's Sabre, Team",Gold
Spain,1988,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Spain,1980,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Spain,1992,Swimming,Swimming Men's 200 metres Backstroke,Gold
Italy,1960,Boxing,Boxing Men's Lightweight,Silver
Germany,1980,Judo,Judo Men's Half-Heavyweight,Bronze
Germany,1980,Judo,Judo Men's Open Class,Gold
Germany,1976,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Germany,1964,Athletics,Athletics Women's Discus Throw,Silver
Spain,1996,Boxing,Boxing Men's Light-Flyweight,Bronze
Spain,2000,Boxing,Boxing Men's Light-Flyweight,Silver
Germany,1996,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Germany,1988,Cycling,"Cycling Men's Road Race, Individual",Gold
Germany,1952,Athletics,"Athletics Men's 1,500 metres",Bronze
Italy,2000,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Germany,1996,Boxing,Boxing Men's Flyweight,Bronze
France,1992,Judo,Judo Women's Heavyweight,Bronze
Germany,2008,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
Germany,2012,Swimming,Swimming Men's 10 kilometres Open Water,Silver
Germany,2004,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Germany,1956,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Germany,1956,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
Germany,1956,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
Germany,2000,Sailing,Sailing Women's Windsurfer,Silver
Great Britain,1968,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Italy,2000,Judo,Judo Men's Lightweight,Gold
Italy,1984,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
Italy,1988,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
Italy,1992,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
Italy,1972,Fencing,"Fencing Men's Sabre, Team",Gold
Italy,1980,Fencing,"Fencing Men's Sabre, Team",Silver
France,1964,Fencing,"Fencing Men's Foil, Individual",Silver
France,1984,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Italy,1980,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
France,1952,Rowing,Rowing Men's Coxed Pairs,Gold
France,2012,Swimming,Swimming Men's 50 metres Freestyle,Gold
France,2016,Swimming,Swimming Men's 50 metres Freestyle,Silver
France,2004,Swimming,Swimming Women's 400 metres Freestyle,Gold
France,2004,Swimming,Swimming Women's 800 metres Freestyle,Silver
France,2004,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Italy,1972,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Italy,2012,Boxing,Boxing Men's Light-Welterweight,Bronze
Italy,1952,Fencing,"Fencing Men's epee, Individual",Silver
Italy,1952,Fencing,"Fencing Men's Foil, Individual",Silver
Italy,1952,Fencing,"Fencing Men's epee, Individual",Gold
Italy,1956,Fencing,"Fencing Men's epee, Individual",Bronze
Italy,1960,Weightlifting,Weightlifting Men's Featherweight,Bronze
Germany,1980,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Italy,1964,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Great Britain,1980,Judo,Judo Men's Open Class,Bronze
France,2000,Swimming,Swimming Women's 200 metres Backstroke,Silver
Great Britain,2016,Cycling,Cycling Women's Sprint,Bronze
France,2016,Judo,Judo Men's Half-Heavyweight,Bronze
Italy,1976,Judo,Judo Men's Lightweight,Bronze
France,1988,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Spain,2016,Badminton,Badminton Women's Singles,Gold
Italy,1984,Fencing,"Fencing Men's Sabre, Individual",Silver
Italy,1992,Fencing,"Fencing Men's Sabre, Individual",Silver
Germany,1960,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
Great Britain,1992,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
Great Britain,1960,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Great Britain,1964,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Germany,2012,Cycling,Cycling Men's Individual Time Trial,Silver
Italy,1976,Cycling,"Cycling Men's Road Race, Individual",Silver
Italy,1996,Cycling,Cycling Men's Points Race,Gold
Italy,2000,Cycling,Cycling Men's Madison,Bronze
Spain,1992,Tennis,Tennis Women's Doubles,Silver
Spain,1996,Tennis,Tennis Women's Doubles,Bronze
Spain,2004,Athletics,Athletics Men's Long Jump,Bronze
Spain,2004,Athletics,Athletics Men's Shot Put,Bronze
France,1996,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
France,2000,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Italy,1984,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Italy,1988,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Germany,1988,Boxing,Boxing Men's Middleweight,Gold
Great Britain,2008,Athletics,Athletics Men's High Jump,Silver
Italy,1952,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Spain,1996,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Italy,1984,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Italy,1988,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Belgium,1992,Cycling,Cycling Men's Points Race,Bronze
Belgium,1976,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Germany,2004,Judo,Judo Women's Extra-Lightweight,Bronze
Italy,1964,Shooting,Shooting Men's Trap,Gold
Germany,1976,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Germany,1976,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Germany,1968,Swimming,Swimming Men's 100 metres Backstroke,Gold
Germany,1968,Swimming,Swimming Men's 200 metres Backstroke,Gold
Germany,1972,Swimming,Swimming Men's 100 metres Backstroke,Gold
Germany,1972,Swimming,Swimming Men's 200 metres Backstroke,Gold
Germany,1976,Swimming,Swimming Men's 100 metres Backstroke,Bronze
Great Britain,1964,Athletics,Athletics Men's 20 kilometres Walk,Gold
France,2004,Tennis,Tennis Women's Singles,Silver
France,1972,Sailing,Sailing Mixed One Person Dinghy,Gold
Italy,1996,Athletics,Athletics Women's Long Jump,Silver
Italy,2000,Athletics,Athletics Women's Long Jump,Silver
